Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
k12,COL1A2,CD44,k14,37,0.05146036161335188,0.7807714237545448,561.3746536795177,0.0974857538415242,0.1672784114388933,409,0.6533546325878594,41.58123014476248,26029.85007062131,0.3226507941129029,0.3922644581697529,32.4654362615916,0.03145385589166275,14612498.06872481,0.06561737542657449
k12,COL1A2,CD44,k15,37,0.05146036161335188,0.7807714237545448,561.3746536795177,0.0974857538415242,0.1672784114388933,130,0.6666666666666666,42.81543556226315,8349.009934641314,0.3322276478199401,0.1258178533253375,33.42906858261917,0.03238746269472328,4686922.56062612,0.02104661063491415
k14,COL1A2,CD44,k12,76,0.121405750798722,3.213537854045293,2011.674696632354,0.4012367136766074,0.5994387979201271,520,0.7232267037552156,44.47712262219902,31979.0511653611,0.3451215580671572,0.4819176885049094,142.9289171854508,0.1384754397778166,64331448.05166829,0.2888801598938291
k14,COL1A2,CD44,k14,76,0.121405750798722,3.213537854045293,2011.674696632354,0.4012367136766074,0.5994387979201271,409,0.6533546325878594,41.58123014476248,26029.85007062131,0.3226507941129029,0.3922644581697529,133.6228570879635,0.1294593442950088,52363590.74420278,0.2351385352720667
k14,COL1A2,CD44,k15,76,0.121405750798722,3.213537854045293,2011.674696632354,0.4012367136766074,0.5994387979201271,130,0.6666666666666666,42.81543556226315,8349.009934641314,0.3322276478199401,0.1258178533253375,137.5890229167696,0.1333019296037821,16795492.02745007,0.07542010275423121
k15,COL1A2,CD44,k12,22,0.1128205128205128,4.014773003328033,782.8807356489664,0.5012775324818685,0.2332827906409795,520,0.7232267037552156,44.47712262219902,31979.0511653611,0.3451215580671572,0.4819176885049094,178.5655511693151,0.1730016830342024,25035783.10169383,0.1124231032336755
k15,COL1A2,CD44,k14,22,0.1128205128205128,4.014773003328033,782.8807356489664,0.5012775324818685,0.2332827906409795,409,0.6533546325878594,41.58123014476248,26029.85007062131,0.3226507941129029,0.3922644581697529,166.9392002303622,0.1617375939262313,20378268.17212031,0.09150854747111171
k15,COL1A2,CD44,k15,22,0.1128205128205128,4.014773003328033,782.8807356489664,0.5012775324818685,0.2332827906409795,130,0.6666666666666666,42.81543556226315,8349.009934641314,0.3322276478199401,0.1258178533253375,171.8942548211051,0.1665382555214348,6536279.03957252,0.02935113993619218
k12,COL1A2,ITGA2,k12,37,0.05146036161335188,0.7807714237545448,561.3746536795177,0.0974857538415242,0.1672784114388933,117,0.1627260083449235,3.212061770608185,2309.472413067285,0.3445148668530995,0.4608333291723717,2.507886041825296,0.03358529150478674,1296479.276068047,0.07708746724205096
k12,COL1A2,ITGA2,k14,37,0.05146036161335188,0.7807714237545448,561.3746536795177,0.0974857538415242,0.1672784114388933,92,0.1469648562300319,3.504230481943578,2193.64828169668,0.3758518933092551,0.4377217216225227,2.736003022551162,0.03664020515201686,1231458.544432143,0.07322139424531307
k12,COL1A2,ITGA2,k15,37,0.05146036161335188,0.7807714237545448,561.3746536795177,0.0974857538415242,0.1672784114388933,19,0.09743589743589744,2.607142175541589,508.3927242306099,0.2796332398376454,0.1014449492051056,2.035582108328128,0.0272602571847206,285398.7894981452,0.01696954995152929
k14,COL1A2,ITGA2,k12,76,0.121405750798722,3.213537854045293,2011.674696632354,0.4012367136766074,0.5994387979201271,117,0.1627260083449235,3.212061770608185,2309.472413067285,0.3445148668530995,0.4608333291723717,10.32208208938115,0.1382320129888716,4645907.21593792,0.2762413768806167
k14,COL1A2,ITGA2,k14,76,0.121405750798722,3.213537854045293,2011.674696632354,0.4012367136766074,0.5994387979201271,92,0.1469648562300319,3.504230481943578,2193.64828169668,0.3758518933092551,0.4377217216225227,11.26097730302507,0.1508055785005364,4412906.741600253,0.2623873826329335
k14,COL1A2,ITGA2,k15,76,0.121405750798722,3.213537854045293,2011.674696632354,0.4012367136766074,0.5994387979201271,19,0.09743589743589744,2.607142175541589,508.3927242306099,0.2796332398376454,0.1014449492051056,8.378150071980894,0.1121991221871994,1022720.779286708,0.06081003840657687
k15,COL1A2,ITGA2,k12,22,0.1128205128205128,4.014773003328033,782.8807356489664,0.5012775324818685,0.2332827906409795,117,0.1627260083449235,3.212061770608185,2309.472413067285,0.3445148668530995,0.4608333291723717,12.89569888165978,0.1726975623594411,1808041.46170311,0.107504485049704
k15,COL1A2,ITGA2,k14,22,0.1128205128205128,4.014773003328033,782.8807356489664,0.5012775324818685,0.2332827906409795,92,0.1469648562300319,3.504230481943578,2193.64828169668,0.3758518933092551,0.4377217216225227,14.06868993634626,0.1884061096567018,1717364.980529788,0.102112944744276
k15,COL1A2,ITGA2,k15,22,0.1128205128205128,4.014773003328033,782.8807356489664,0.5012775324818685,0.2332827906409795,19,0.09743589743589744,2.607142175541589,508.3927242306099,0.2796332398376454,0.1014449492051056,10.46708402220229,0.1401738604657254,398010.8699442419,0.02366536084699945
