Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand-expressing cells,Ligand detection rate,Ligand average expression value,Ligand total expression value,Ligand derived specificity of average expression value,Ligand derived specificity of total expression value,Receptor-expressing cells,Receptor detection rate,Receptor average expression value,Receptor total expression value,Receptor derived specificity of average expression value,Receptor derived specificity of total expression value,Edge average expression weight,Edge average expression derived specificity,Edge total expression weight,Edge total expression derived specificity
k12,COL1A2,CD44,k14,30,0.02142857142857143,0.3367101995913122,471.3942794278371,0.152683693481463,0.2243051999015361,347,0.4608233731739708,66.67828215392063,50208.74646190224,0.1661783456633173,0.113988999470731,22.45125769245245,0.02537272359251455,23668115.85938337,0.02556832531285841
k12,COL1A2,CD44,k15,30,0.02142857142857143,0.3367101995913122,471.3942794278371,0.152683693481463,0.2243051999015361,658,0.589605734767025,275.1143808528556,307027.6490317869,0.6856513275608913,0.697045375341924,92.6338180874053,0.1046877771324653,144731077.3797621,0.1563509022565115
k14,COL1A2,CD44,k12,37,0.04913678618857902,1.253835050326602,944.1377928959312,0.568560639780872,0.4492524105875075,632,0.4514285714285714,59.45264899682847,83233.70859555986,0.1481703267757914,0.188965625187345,74.54381514698822,0.08424381578818481,78584089.92795499,0.08489326263359016
k14,COL1A2,CD44,k14,37,0.04913678618857902,1.253835050326602,944.1377928959312,0.568560639780872,0.4492524105875075,347,0.4608233731739708,66.67828215392063,50208.74646190224,0.1661783456633173,0.113988999470731,83.60356726015243,0.0944824665280626,47403975.06861177,0.05120983279268403
k14,COL1A2,CD44,k15,37,0.04913678618857902,1.253835050326602,944.1377928959312,0.568560639780872,0.4492524105875075,658,0.589605734767025,275.1143808528556,307027.6490317869,0.6856513275608913,0.697045375341924,344.9480535622121,0.3898343574646246,289876406.9148979,0.3131493151612333
k15,COL1A2,CD44,k12,19,0.01702508960573477,0.6147341215310841,686.0432796286898,0.2787556667376649,0.3264423895109566,632,0.4514285714285714,59.45264899682847,83233.70859555986,0.1481703267757914,0.188965625187345,36.54757195376124,0.0413033182311234,57101926.42055655,0.0616863902215887
k15,COL1A2,CD44,k14,19,0.01702508960573477,0.6147341215310841,686.0432796286898,0.2787556667376649,0.3264423895109566,347,0.4608233731739708,66.67828215392063,50208.74646190224,0.1661783456633173,0.113988999470731,40.98941520509216,0.04632315554274016,34445373.08876879,0.0372108413651886
k15,COL1A2,CD44,k15,19,0.01702508960573477,0.6147341215310841,686.0432796286898,0.2787556667376649,0.3264423895109566,658,0.589605734767025,275.1143808528556,307027.6490317869,0.6856513275608913,0.697045375341924,169.1221972341483,0.1911291929638013,210634255.2784534,0.2275451579241793
k12,COL1A2,ITGA2,k12,30,0.02142857142857143,0.3367101995913122,471.3942794278371,0.152683693481463,0.2243051999015361,500,0.3571428571428572,47.70895586004307,66792.5382040603,0.1533532604192659,0.2153177157604176,16.06409204992821,0.02341454220823817,31485620.41785929,0.0482968832759826
k12,COL1A2,ITGA2,k14,30,0.02142857142857143,0.3367101995913122,471.3942794278371,0.152683693481463,0.2243051999015361,314,0.4169986719787517,139.2228230524544,104834.7857584982,0.4475108175182174,0.3379537177160367,46.87774453765786,0.06832760449159042,49418518.29159892,0.07580477620976289
