Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
k14,IL6,IL6R,k14,0.3515625,38.0920352670479,0.5140947454176825,0.8697916666666666,123.57466681533751,0.3291849753140025,4707.210566443528,0.1692322660793782
k14,IL6,IL6R,k15,0.3515625,38.0920352670479,0.5140947454176825,0.6427939876215738,109.24387262759899,0.2910098197380604,4161.3214488393905,0.1496066191922839
k12,IL6,IL6ST,k12,0.2701080432172869,17.97029778370318,0.2425293266538762,0.3949579831932773,32.40511110213558,0.2306020654227379,582.3294962193622,0.055927763651969734
k12,IL6,IL6ST,k14,0.2701080432172869,17.97029778370318,0.2425293266538762,0.4453125,48.49175369984614,0.345078235464475,871.4112540402257,0.08369159209010686
k12,IL6,IL6ST,k15,0.2701080432172869,17.97029778370318,0.2425293266538762,0.3651635720601238,59.627076485060854,0.424319699112787,1071.516320408189,0.1029099709117996
k14,IL6,IL6ST,k12,0.3515625,38.0920352670479,0.5140947454176825,0.3949579831932773,32.40511110213558,0.2306020654227379,1234.376634935154,0.1185513101162942
k14,IL6,IL6ST,k14,0.3515625,38.0920352670479,0.5140947454176825,0.4453125,48.49175369984614,0.345078235464475,1847.14959209554,0.1774029076102924
k14,IL6,IL6ST,k15,0.3515625,38.0920352670479,0.5140947454176825,0.3651635720601238,59.627076485060854,0.424319699112787,2271.3167003399,0.2181405276910959
k12,ANXA1,EGFR,k12,0.6506602641056423,898.2226474931018,0.4013130543963082,0.4933973589435774,73.52501758965009,0.3325361162479211,66041.83595635237,0.13345108450853901
k12,ANXA1,EGFR,k14,0.6506602641056423,898.2226474931018,0.4013130543963082,0.5052083333333334,67.43833015781527,0.3050074808833739,60574.63545686673,0.1224034837670304
k12,ANXA1,EGFR,k15,0.6506602641056423,898.2226474931018,0.4013130543963082,0.4217506631299735,80.14050833664723,0.3624564028687047,71984.01956958628,0.1454584861207387
k14,ANXA1,EGFR,k12,0.5807291666666666,697.7375206088375,0.3117391621597807,0.4933973589435774,73.52501758965009,0.3325361162479211,51301.16347572361,0.1036645302669943
k14,ANXA1,EGFR,k14,0.5807291666666666,697.7375206088375,0.3117391621597807,0.5052083333333334,67.43833015781527,0.3050074808833739,47054.253278314216,0.09508277654304836
k14,ANXA1,EGFR,k15,0.5807291666666666,697.7375206088375,0.3117391621597807,0.4217506631299735,80.14050833664723,0.3624564028687047,55917.039587144114,0.1129918553497379
k15,ANXA1,EGFR,k12,0.5596816976127321,642.2492239256648,0.2869477834439111,0.4933973589435774,73.52501758965009,0.3325361162479211,47221.385486073625,0.0954205014723877
k15,ANXA1,EGFR,k14,0.5596816976127321,642.2492239256648,0.2869477834439111,0.5052083333333334,67.43833015781527,0.3050074808833739,43312.21520669961,0.08752122057329527
k15,ANXA1,EGFR,k15,0.5596816976127321,642.2492239256648,0.2869477834439111,0.4217506631299735,80.14050833664723,0.3624564028687047,51470.17928421996,0.1040060613982281
k12,GAS6,TYRO3,k12,0.4405762304921969,46.50864505431475,0.4438821784111367,0.2220888355342137,11.63864624756639,0.6779118755184417,541.2976672407973,0.3009130000759052
k14,GAS6,TYRO3,k12,0.3567708333333333,41.52768116771168,0.3963434660278686,0.2220888355342137,11.63864624756639,0.6779118755184417,483.3259905927208,0.2686859424044322
k12,KITLG,KIT,k12,0.4789915966386555,73.54560444456844,0.3707606196798657,0.6734693877551021,85.25838031831113,0.5625396827814134,6270.379114475089,0.2085675613825519
k12,KITLG,KIT,k14,0.4789915966386555,73.54560444456844,0.3707606196798657,0.5520833333333334,56.31822365200099,0.3715908694221943,4141.957799730803,0.1377712610143528
k14,KITLG,KIT,k12,0.515625,88.69986402883274,0.4471567920505223,0.6734693877551021,85.25838031831113,0.5625396827814134,7562.406741552708,0.2515434399536553
k14,KITLG,KIT,k14,0.515625,88.69986402883274,0.4471567920505223,0.5520833333333334,56.31822365200099,0.3715908694221943,4995.418780277881,0.1661593811260929
k15,KITLG,KIT,k12,0.2519893899204244,36.11865258150371,0.1820825882696119,0.6734693877551021,85.25838031831113,0.5625396827814134,3079.4178183787926,0.1024286814452062
k15,KITLG,KIT,k14,0.2519893899204244,36.11865258150371,0.1820825882696119,0.5520833333333334,56.31822365200099,0.3715908694221943,2034.138354094049,0.06766022728174853
k12,ADM,CALCRL,k12,0.5894357743097239,71.29135019673369,0.3630180878406353,0.248499399759904,14.573873040049829,0.3106082403821757,1038.991086620928,0.1127564094910818
k14,ADM,CALCRL,k12,0.4375,44.986029488834156,0.2290704602944555,0.248499399759904,14.573873040049829,0.3106082403821757,655.6206823462068,0.07115117259559589
k15,ADM,CALCRL,k12,0.4102564102564102,80.10773881031974,0.4079114518649092,0.248499399759904,14.573873040049829,0.3106082403821757,1167.480014947072,0.126700658295498
k15,AZGP1,ITGAV,k12,0.2122015915119363,36.632939542359544,0.6464670120516859,0.7947178871548619,128.9811699217445,0.3041706932764064,4724.9593998460705,0.1966363192360883
k15,AZGP1,ITGAV,k14,0.2122015915119363,36.632939542359544,0.6464670120516859,0.8932291666666666,168.1064240584666,0.3964380814742556,6158.232469216063,0.2562841419941648
k15,AZGP1,ITGAV,k15,0.2122015915119363,36.632939542359544,0.6464670120516859,0.5950486295313882,126.9544744137237,0.299391225249338,4650.715585829974,0.1935465508214328
k12,CTF1,IL6ST,k12,0.5582232893157263,36.88915889117111,0.3607134671814672,0.3949579831932773,32.40511110213558,0.2306020654227379,1195.397292332732,0.08318127055784334
k12,CTF1,IL6ST,k14,0.5582232893157263,36.88915889117111,0.3607134671814672,0.4453125,48.49175369984614,0.345078235464475,1788.820007145159,0.1244743667632535
k12,CTF1,IL6ST,k15,0.5582232893157263,36.88915889117111,0.3607134671814672,0.3651635720601238,59.627076485060854,0.424319699112787,2199.592698673422,0.1530578298603703
k14,CTF1,IL6ST,k12,0.453125,29.48072113021901,0.2882714990944497,0.3949579831932773,32.40511110213558,0.2306020654227379,955.3260435958227,0.06647600309368902
k14,CTF1,IL6ST,k14,0.453125,29.48072113021901,0.2882714990944497,0.4453125,48.49175369984614,0.345078235464475,1429.57186794043,0.0994762202422117
k14,CTF1,IL6ST,k15,0.453125,29.48072113021901,0.2882714990944497,0.3651635720601238,59.627076485060854,0.424319699112787,1757.849213666318,0.1223192757585489
k15,CTF1,IL6ST,k12,0.3200707338638373,35.897327187186214,0.351015033724083,0.3949579831932773,32.40511110213558,0.2306020654227379,1163.256875770481,0.08094479177120556
