Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
k14,MYOC,FZD7,k14,0.39973439575033204,31.290825148278213,0.5977201158014317,0.3359893758300133,22.98925797904653,0.5875742426684737,719.3528517110047,0.3512049443697386
k12,MYOC,FZD10,k12,0.2585714285714286,16.03842804274507,0.3063674742214336,0.6371428571428571,55.97507003291929,0.3518987711383128,897.7521329105922,0.1078103376952712
k12,MYOC,FZD10,k14,0.2585714285714286,16.03842804274507,0.3063674742214336,0.6586985391766268,61.29052321172657,0.3853154589703327,983.0036462334732,0.1180481239432133
k12,MYOC,FZD10,k15,0.2585714285714286,16.03842804274507,0.3063674742214336,0.3503584229390681,41.8002365445649,0.2627857698913545,670.4100859897271,0.08050901258294914
k14,MYOC,FZD10,k12,0.39973439575033204,31.290825148278213,0.5977201158014317,0.6371428571428571,55.97507003291929,0.3518987711383128,1751.506129062705,0.2103369742351738
k14,MYOC,FZD10,k14,0.39973439575033204,31.290825148278213,0.5977201158014317,0.6586985391766268,61.29052321172657,0.3853154589703327,1917.8310450646231,0.2303108007558291
k14,MYOC,FZD10,k15,0.39973439575033204,31.290825148278213,0.5977201158014317,0.3503584229390681,41.8002365445649,0.2627857698913545,1307.963892872649,0.1570723408104288
k12,MYOC,FZD3,k14,0.2585714285714286,16.03842804274507,0.3063674742214336,0.30278884462151395,11.076291674339052,0.5678217774890018,177.64630699934318,0.1739621237772304
k14,MYOC,FZD3,k14,0.39973439575033204,31.290825148278213,0.5977201158014317,0.30278884462151395,11.076291674339052,0.5678217774890018,346.586306073073,0.3393984985953009
k12,PROS1,TYRO3,k12,0.2935714285714286,19.37056238593291,0.3063343878644719,0.4428571428571428,28.20841559762763,0.3960320868294752,546.4128741421691,0.1213182468935966
k12,PROS1,TYRO3,k14,0.2935714285714286,19.37056238593291,0.3063343878644719,0.4581673306772908,31.830717791052948,0.4468874031028877,616.5789047606157,0.1368969790738666
k14,PROS1,TYRO3,k12,0.2470119521912351,11.615242181320221,0.1836884253859498,0.4428571428571428,28.20841559762763,0.3960320868294752,327.6475787177757,0.07274651043201802
k14,PROS1,TYRO3,k14,0.2470119521912351,11.615242181320221,0.1836884253859498,0.4581673306772908,31.830717791052948,0.4468874031028877,369.7214959483383,0.08208804340078564
k15,PROS1,TYRO3,k12,0.2365591397849462,32.247587285909674,0.5099771867495784,0.4428571428571428,28.20841559762763,0.3960320868294752,909.6533441817129,0.2019673295038605
k15,PROS1,TYRO3,k14,0.2365591397849462,32.247587285909674,0.5099771867495784,0.4581673306772908,31.830717791052948,0.4468874031028877,1026.463850340138,0.2279023806282355
k12,VWF,TNFRSF11B,k12,0.5621428571428572,200.32271125681018,0.6967134126974499,0.2742857142857143,16.581437930781277,0.2539948269602063,3321.6386028306188,0.1769616026989436
k12,VWF,TNFRSF11B,k14,0.5621428571428572,200.32271125681018,0.6967134126974499,0.4448871181938911,36.743009268682215,0.5628302153380537,7360.459236436531,0.3921313600974161
k14,VWF,TNFRSF11B,k12,0.3293492695883134,79.44335396958448,0.2763004250143357,0.2742857142857143,16.581437930781277,0.2539948269602063,1317.2850428597521,0.07017887864054766
k14,VWF,TNFRSF11B,k14,0.3293492695883134,79.44335396958448,0.2763004250143357,0.4448871181938911,36.743009268682215,0.5628302153380537,2918.987891239646,0.1555102277088143
k12,VWF,ITGA2B,k12,0.5621428571428572,200.32271125681018,0.6967134126974499,0.2171428571428571,8.344366131625526,0.4024139448752561,1671.566047206727,0.2803671928510832
k12,VWF,ITGA2B,k14,0.5621428571428572,200.32271125681018,0.6967134126974499,0.2164674634794157,7.524723419895206,0.3628859984964943,1507.372996931025,0.2528275424326143
k14,VWF,ITGA2B,k12,0.3293492695883134,79.44335396958448,0.2763004250143357,0.2171428571428571,8.344366131625526,0.4024139448752561,662.904432246539,0.1111871440007287
k14,VWF,ITGA2B,k14,0.3293492695883134,79.44335396958448,0.2763004250143357,0.2164674634794157,7.524723419895206,0.3628859984964943,597.7892661699573,0.100265555616333
k12,IL1B,IL1R1,k12,0.3535714285714286,14.36638440120795,0.4303802146994846,0.5042857142857143,26.01399180167446,0.4334967858493764,373.7270060327275,0.1865684397653911
k12,IL1B,IL1R1,k14,0.3535714285714286,14.36638440120795,0.4303802146994846,0.353253652058433,14.63117121936794,0.2438136271112243,210.19702997733032,0.1049325611827888
k12,IL1B,IL1R1,k15,0.3535714285714286,14.36638440120795,0.4303802146994846,0.2446236559139785,19.364490224029943,0.3226895870393993,278.1977102918476,0.1388792137513047
k14,IL1B,IL1R1,k12,0.2430278884462151,12.26905626272339,0.3675496158982748,0.5042857142857143,26.01399180167446,0.4334967858493764,319.167129032769,0.15933157713207502
k14,IL1B,IL1R1,k14,0.2430278884462151,12.26905626272339,0.3675496158982748,0.353253652058433,14.63117121936794,0.2438136271112243,179.51066287996449,0.0896136049954957
k14,IL1B,IL1R1,k15,0.2430278884462151,12.26905626272339,0.3675496158982748,0.2446236559139785,19.364490224029943,0.3226895870393993,237.5840200575804,0.1186044337707041
k12,CD14,ITGB1,k12,0.3471428571428571,16.57174986182028,0.2952945620996706,0.6492857142857142,92.02863354564761,0.2509194170151416,1525.075495243595,0.07409513936979087
k12,CD14,ITGB1,k14,0.3471428571428571,16.57174986182028,0.2952945620996706,0.548472775564409,125.66678275254209,0.3426350544561313,2082.518489714839,0.1011782683656201
k12,CD14,ITGB1,k15,0.3471428571428571,16.57174986182028,0.2952945620996706,0.7437275985663082,149.0702754142783,0.4064455285287272,2470.355315998077,0.1200211543642597
k14,CD14,ITGB1,k12,0.4329349269588313,25.80818903855669,0.45988009379047,0.6492857142857142,92.02863354564761,0.2509194170151416,2375.092371506133,0.1153928450307733
k14,CD14,ITGB1,k14,0.4329349269588313,25.80818903855669,0.45988009379047,0.548472775564409,125.66678275254209,0.3426350544561313,3243.232085144843,0.1575710409791884
k14,CD14,ITGB1,k15,0.4329349269588313,25.80818903855669,0.45988009379047,0.7437275985663082,149.0702754142783,0.4064455285287272,3847.233847921403,0.1869162077805082
k14,IL6,IL6R,k12,0.3771580345285525,74.52569320615291,0.8387305788863325,0.74,61.21399591875401,0.2425237989781462,4562.015479763757,0.2034121263106531
k14,IL6,IL6R,k14,0.3771580345285525,74.52569320615291,0.8387305788863325,0.796812749003984,74.88104625168413,0.2966713009965901,5580.561879908756,0.2488272920238314
k14,IL6,IL6R,k15,0.3771580345285525,74.52569320615291,0.8387305788863325,0.6810035842293907,116.3090360135342,0.4608049000252637,8668.011535048041,0.38649116055184796
k14,IL6,IL6ST,k12,0.3771580345285525,74.52569320615291,0.8387305788863325,0.3678571428571429,23.65839721797647,0.1958812363434667,1763.158452816215,0.1642915827513263
k14,IL6,IL6ST,k14,0.3771580345285525,74.52569320615291,0.8387305788863325,0.4940239043824701,37.51516185921773,0.310609219166596,2795.843443299229,0.2605174501990308
k14,IL6,IL6ST,k15,0.3771580345285525,74.52569320615291,0.8387305788863325,0.3835125448028674,59.60573382298335,0.4935095444899373,4442.158632219268,0.4139215459359754
k12,ANXA1,EGFR,k12,0.3235714285714286,531.0894226301406,0.3455070928060543,0.6228571428571429,63.2862065773441,0.2922629500030088,33610.634911613466,0.1009789221904608
k12,ANXA1,EGFR,k14,0.3235714285714286,531.0894226301406,0.3455070928060543,0.4913678618857902,51.04654799125899,0.2357388048715246,27110.281699939493,0.08144942913273419
k12,ANXA1,EGFR,k15,0.3235714285714286,531.0894226301406,0.3455070928060543,0.6406810035842294,102.2058336331945,0.4719982451254665,54280.43717368546,0.1630787414828593
k14,ANXA1,EGFR,k12,0.2974767596281541,355.6678204399412,0.2313843006631475,0.6228571428571429,63.2862065773441,0.2922629500030088,22508.86715727584,0.06762505829619463
k14,ANXA1,EGFR,k14,0.2974767596281541,355.6678204399412,0.2313843006631475,0.4913678618857902,51.04654799125899,0.2357388048715246,18155.61446503394,0.05454625850436391
k14,ANXA1,EGFR,k15,0.2974767596281541,355.6678204399412,0.2313843006631475,0.6406810035842294,102.2058336331945,0.4719982451254665,36351.32608456552,0.1092129838625889
k15,ANXA1,EGFR,k12,0.5600358422939068,650.3730610196823,0.4231086065307983,0.6228571428571429,63.2862065773441,0.2922629500030088,41159.64389203123,0.1236589695163535
k15,ANXA1,EGFR,k14,0.5600358422939068,650.3730610196823,0.4231086065307983,0.4913678618857902,51.04654799125899,0.2357388048715246,33199.29967156323,0.09974311723442657
k15,ANXA1,EGFR,k15,0.5600358422939068,650.3730610196823,0.4231086065307983,0.6406810035842294,102.2058336331945,0.4719982451254665,66471.9208740891,0.1997065197800183
